Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,Unknown,Building modern applications with GraphQL 2021 and beyond in ASP.NET Core 6,Michael Staib,57:22,57,https://youtube.com/watch?v=3jX6AOW1y-g
1 year ago,talk,NDC Porto 2022,A gentle introduction to Deep Learning,Laurent Bugnion,1:00:04,60,https://youtube.com/watch?v=oALRmk0YohU
1 year ago,talk,NDC Porto 2022,Build and deploy production ready PyTorch models,Henk Boelman,59:12,59,https://youtube.com/watch?v=EnqAPxr-uko
1 year ago,talk,NDC Porto 2022,Cost cutting strategies for Azure Cosmos DB,Hasan Savran,59:38,60,https://youtube.com/watch?v=unc5oAElDDw
1 year ago,talk,Unknown,Securing SPAs and Blazor Applications using the BFF (Backend for Frontend) Pattern,Dominick Baier,56:53,57,https://youtube.com/watch?v=xzRhabmlc8M
1 year ago,talk,NDC Porto 2022,Design & Development Considerations for Dual Screen Devices,Stephanie Stimac,32:34,33,https://youtube.com/watch?v=DJZI-C_nrqQ
1 year ago,talk,NDC Porto 2022,GraphQL Observability with Elastic and OpenTelemetry,Michael Staib,51:49,52,https://youtube.com/watch?v=nCLSfJMihsg
1 year ago,talk,NDC Porto 2022,I'm Going To Make You Stop Hating CSS,Lemon 🍋,57:15,57,https://youtube.com/watch?v=rxI-ffJCTQ0
1 year ago,talk,Unknown,NDC Sydney,10-14 Oct 2022 | Conference for Software Developers,0:33,1,https://youtube.com/watch?v=H-Cyw2ZUFBk
1 year ago,talk,NDC Porto 2022,Not your Grandmother's On-Prem,Tomer Gabel,51:50,52,https://youtube.com/watch?v=YVGILWeyhSs
1 year ago,talk,NDC Porto 2022,"Streaming three ways with Blazor: REST, gRPC, and SignalR",Carl Franklin,45:31,46,https://youtube.com/watch?v=cYP8TcokSFI
1 year ago,talk,NDC Porto 2022,Let's Talk About Web Components,Jemima Abu,45:08,45,https://youtube.com/watch?v=Jivp9jFfgrs
1 year ago,talk,NDC Porto 2022,Building beautiful Blazor apps with Tailwind CSS,Chris Sainty,58:57,59,https://youtube.com/watch?v=uQsT3n1NTkE
1 year ago,talk,NDC Porto 2022,Event Sourcing - what could possibly go wrong?,Andrzej Ludwikowski,47:54,48,https://youtube.com/watch?v=MVNDppCzxUc
1 year ago,talk,NDC Porto 2022,Mocking in Front-end and Back-end TypeScript Tests,Rob Richardson,46:39,47,https://youtube.com/watch?v=YzCuxVGfq5g
1 year ago,talk,NDC Porto 2022,Looking Back - The Last Twenty Years of Software Development,Richard Campbell,1:01:14,61,https://youtube.com/watch?v=eODDN0u5tnw
1 year ago,talk,NDC Porto 2022,Secure Open Source Practices,Jillian Ratliff,29:44,30,https://youtube.com/watch?v=73R7vQ2zXP8
1 year ago,talk,NDC Porto 2022,"What's new in C#? Exciting new features in C# 8.0, 9.0 and 10!",Filip Ekberg,1:02:37,63,https://youtube.com/watch?v=84z7uJYUMOs
1 year ago,talk,NDC Porto 2022,OAuth – the good Parts,Dominick Baier,57:50,58,https://youtube.com/watch?v=Ps8ep-glDfc
1 year ago,talk,NDC Porto 2022,How Product Manufacturing Can Teach us to Write Better Software,Stephen Haunts,50:34,51,https://youtube.com/watch?v=HnbhS8-WEr8
1 year ago,talk,NDC Porto 2022,Actors can rule your DDD world,Hannes Lowette,58:42,59,https://youtube.com/watch?v=WDd1QSZBjHI
1 year ago,talk,Unknown,.NET Rocks Live – Modernizing .NET Applications,"Richard Campbell, Carl Franklin & Mark Rendle",1:00:06,60,https://youtube.com/watch?v=8AUa-48LaVs
1 year ago,talk,NDC Porto 2022,Automate yourself out of a job with Roslyn,Mark Rendle,1:16:07,76,https://youtube.com/watch?v=0oXAZQBHH70
1 year ago,talk,Unknown,NDC Oslo,26-30 Sept 2022 | Conference for Software Developers,0:33,1,https://youtube.com/watch?v=Fnb_i7aLrWo
1 year ago,talk,NDC Porto 2022,Lean & Lego: Building the Millennium Falcon Redux,James Lewis,49:06,49,https://youtube.com/watch?v=UAsrW-fgAsg
