Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
2 years ago,talk,NDC London 2021,"Designing composable functional libraries, not just for data visualization",Tomas Petricek,48:28,48,https://youtube.com/watch?v=o-HNxQ25pfg
2 years ago,talk,NDC London 2021,Securing Multitenant Databases with Entity Framework Core,Zoran Horvat,1:00:21,60,https://youtube.com/watch?v=ksCTuK68TXA
2 years ago,talk,NDC London 2021,Little Fluffy Clouds,Liam Westley,56:21,56,https://youtube.com/watch?v=g7iZ3ODmIUs
2 years ago,talk,NDC London 2021,Mobius – writing your own .NET runtime running on .NET Core,Konrad Kokosa,58:16,58,https://youtube.com/watch?v=9IVJ2ts0zQo
2 years ago,talk,NDC London 2021,Authentication and Authorization in Blazor,Marco De Sanctis,56:47,57,https://youtube.com/watch?v=evNRI7h_4Zk
2 years ago,talk,NDC London 2021,The Rise of Software Supply-Chain Attacks – How Secure is your .NET Application?,Niels Tanis,58:29,58,https://youtube.com/watch?v=yiNHhaX-adY
2 years ago,talk,NDC London 2021,"Building a Robot Arm with .NET 5, Raspberry Pi, Blazor and Signal R",Peter Gallagher,56:24,56,https://youtube.com/watch?v=RY7cb-BQO8Q
2 years ago,talk,NDC London 2021,Automating Android: Command line controls,Quintin Balsdon,56:59,57,https://youtube.com/watch?v=E8NaMb8rx1k
2 years ago,talk,NDC London 2021,Advanced Bluetooth® Technology - Under the APIs,Martin Woolley,57:50,58,https://youtube.com/watch?v=xGo6XUn0WQg
2 years ago,talk,NDC London 2021,Access All Areas: Making Accessibility More Accessible,André Lemos  -NDC London 2021,53:14,53,https://youtube.com/watch?v=iUXQ40rn0ig
2 years ago,talk,NDC London 2021,Running PHP apps on .NET 5,Jakub Míšek & Ben Fistein,55:43,56,https://youtube.com/watch?v=QYWoHuV78Oo
2 years ago,talk,NDC London 2021,Software and Database Refactor Patterns,Bill Penberthy,50:20,50,https://youtube.com/watch?v=1nP7hEvAMiw
2 years ago,talk,NDC London 2021,A pragmatic approach to turn your data into actionable insights,Irina Dragunova,58:59,59,https://youtube.com/watch?v=Uc7xkLZFcW8
2 years ago,talk,NDC London 2021,"Lessons Learned from the Trenches: Connectivity and Performance Tips&Tricks, Jose Manuel Jurado Diaz",Unknown,59:08,59,https://youtube.com/watch?v=aeNFTdEKuEk
2 years ago,talk,NDC London 2021,REST - The ignored parts,Irina Scurtu,1:00:57,61,https://youtube.com/watch?v=rEKV7ZSRueE
2 years ago,talk,NDC London 2021,"Dude, where is my class?!",Hackle Wayne,58:14,58,https://youtube.com/watch?v=P-Ke4vK1d38
2 years ago,talk,NDC London 2021,The leadership balancing act - achieving success without burning out,Donna Edwards,55:09,55,https://youtube.com/watch?v=r82WJQIHL0Y
2 years ago,talk,NDC London 2021,Evolutionary history of the RabbitMQ .NET Client towards concurrency,Daniel Marbach,59:54,60,https://youtube.com/watch?v=t0lT8eRPyuc
2 years ago,talk,NDC London 2021,DevOps for Your Relational Database Foundations,Brian Randell,59:45,60,https://youtube.com/watch?v=w_ZLEuo6zl4
2 years ago,talk,NDC London 2021,CI/CD and beyond with GitHub Actions,Damian Brady,56:03,56,https://youtube.com/watch?v=Vpc1uxJi37E
2 years ago,talk,NDC London 2021,Building a Mobile Flight Simulator,Clifford Agius,50:42,51,https://youtube.com/watch?v=szb1MG-lrHM
2 years ago,talk,NDC London 2021,How To Make Your Website A Progressive Web App (And Why You Might Want To),Lemon 🍋,35:46,36,https://youtube.com/watch?v=beZIwiTi_Ik
2 years ago,talk,NDC London 2021,Infrastructure *is* Code with the AWS Cloud Development Kit,Steve Roberts,53:00,53,https://youtube.com/watch?v=S8ibDpdo5BE
2 years ago,talk,NDC London 2021,Hot Chocolate: GraphQL Schema Stitching with ASP.Net Core,Michael Staib,52:12,52,https://youtube.com/watch?v=_ncO6kUP-zs
2 years ago,talk,NDC London 2021,Postponing architectural choices and start developing first with Dapr,Michaël Hompus,1:02:42,63,https://youtube.com/watch?v=biT5-mQ2ekc
2 years ago,talk,NDC London 2021,Microsoft Q# and Azure Quantum,Johnny Hooyberghs,1:03:18,63,https://youtube.com/watch?v=ePNfQ-rj0VQ
2 years ago,talk,NDC London 2021,Hiding The Lead,Sam Newman,52:57,53,https://youtube.com/watch?v=aI4hi4xKYtE
2 years ago,talk,NDC London 2021,OpenTelemetry 101,Rob Ashton,57:57,58,https://youtube.com/watch?v=Mcu9Gm4wPf8
2 years ago,talk,NDC London 2021,Getting Started with GitHub Actions,Mickey Gousset,1:00:34,61,https://youtube.com/watch?v=r_tl0UAbNQ8
2 years ago,talk,NDC London 2021,Observable Web Applications,Todd Gardner,52:43,53,https://youtube.com/watch?v=dtZB2fqZuG0
2 years ago,talk,NDC London 2021,HTTP Security Headers You Need To Have On Your Web Apps,Scott Sauber,59:22,59,https://youtube.com/watch?v=7MWXTXjtl8s
2 years ago,talk,NDC London 2021,🤖  Building a Telegram bot with Apache Kafka and ksqlDB,Robin Moffatt,59:20,59,https://youtube.com/watch?v=FMEQVOmEpck
2 years ago,talk,NDC London 2021,When Open Source Came to Microsoft,Richard Campbell,54:21,54,https://youtube.com/watch?v=XMwoqc0aayA
2 years ago,talk,NDC London 2021,"Blazor, GraphQL and a headless CMS",Poornima Nayar,56:07,56,https://youtube.com/watch?v=iLdgJB3ZC1k
2 years ago,talk,NDC London 2021,Smart home from scratch,"a little C#, a little C++ and a whole lot of cheap Chinese electronics",49:50,50,https://youtube.com/watch?v=LOzMldQ5cw8
2 years ago,talk,NDC London 2021,OAuth in 2021 – What’s up?,Dominick Baier,1:02:23,62,https://youtube.com/watch?v=kRI5geKohjo
2 years ago,talk,NDC London 2021,Building a Game Boy emulator in .NET Core!,David Whitney,51:16,51,https://youtube.com/watch?v=pP4lumdqpXY
2 years ago,talk,NDC London 2021,Blazor & gRPC - Code-first .NET SPA developer productivity,Christian Weyer,1:03:07,63,https://youtube.com/watch?v=t2AMDthNSl8
2 years ago,talk,NDC London 2021,Getting Started with Unity and AR/VR for the .NET Developer,Davide Zordan,56:37,57,https://youtube.com/watch?v=sFY-vrZmHow
2 years ago,talk,NDC London 2021,The Ultimate Guide To Building Better Azure ARM Templates,Eldert Grootenboer,1:02:07,62,https://youtube.com/watch?v=fj5RB958M_4
2 years ago,talk,NDC London 2021,"Reactive Programming, State Management, and Redux for the Modern Front End Dev",Jennifer Wadella,1:00:14,60,https://youtube.com/watch?v=JFbnPoXMpqQ
2 years ago,talk,NDC London 2021,"Migrate your Web Apps to ASP.NET Core, one page at a time",Mark Rendle,57:07,57,https://youtube.com/watch?v=xZ0_NwxDJxc
2 years ago,talk,NDC Sydney 2020,"JavaScript for emails, are you sure?",Phil Nash,59:16,59,https://youtube.com/watch?v=l-SCY3Hetg4
2 years ago,talk,NDC Sydney 2020,Managing the Burnout Burndown,Anjuan Simmons,59:41,60,https://youtube.com/watch?v=YUEvsk9TzmM
2 years ago,talk,NDC Sydney 2020,The Dark Side Of Events,Vladik Khononov,54:14,54,https://youtube.com/watch?v=ILC0RP-NcLE
2 years ago,talk,NDC Sydney 2020,Battles of an Impostor,Melissa Houghton,47:14,47,https://youtube.com/watch?v=lrob86feodY
2 years ago,talk,NDC Sydney 2020,From a distributed monolith to a microservices solution,Jan de Vries,54:12,54,https://youtube.com/watch?v=0H68V2BzutA
